,,ADMIN / STAFF,,,,,,,EXTENSIONIST,,,,,,,IT EXPERTS,,,,,,,OVERALL,,,,,,,
,,5,4,3,2,1,TOTAL,,5,4,3,2,1,TOTAL,,5,4,3,2,1,TOTAL,,5,4,3,2,1,TOTAL,,
FUNCTIONAL SUITABILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,2,,9,13,,,,22,,5,4,1,,,10,,16,17,1,0,0,34,,
2,,2,,,,,2,,11,9,2,,,22,,6,3,1,,,10,,19,12,3,0,0,34,,
3,,2,,,,,2,,12,10,,,,22,,3,6,1,,,10,,17,16,1,0,0,34,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. PERFORMANCE EFFICIENCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,1,,,,2,,11,9,2,,,22,,3,5,1,1,,10,,15,15,3,1,0,34,,
2,,2,,,,,2,,13,8,1,,,22,,2,6,1,1,,10,,17,14,2,1,0,34,,
3,,1,1,,,,2,,10,9,1,2,,22,,2,5,2,,1,10,,13,15,3,2,1,34,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. COMPATABILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,1,,,,2,,13,7,2,,,22,,3,5,2,,,10,,17,13,4,0,0,34,,
2,,2,,,,,2,,13,8,,,1,22,,2,4,3,1,,10,,17,12,3,1,1,34,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. USABILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,2,,13,7,2,,,22,,4,5,1,,,10,,19,12,3,0,0,34,,
2,,2,,,,,2,,14,7,,1,,22,,2,6,2,,,10,,18,13,2,1,0,34,,
3,,2,,,,,2,,13,7,2,,,22,,2,6,2,,,10,,17,13,4,0,0,34,,
4,,1,1,,,,2,,10,7,3,2,,22,,2,5,1,2,,10,,13,13,4,4,0,34,,
5,,2,,,,,2,,12,8,,2,,22,,4,3,3,,,10,,18,11,3,2,0,34,,
6,,2,,,,,2,,16,3,3,,,22,,4,5,,,1,10,,22,8,3,0,1,34,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. RELIABILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,2,,9,11,2,,,22,,1,8,1,,,10,,12,19,3,0,0,34,,
2,,2,,,,,2,,12,9,1,,,22,,3,6,1,,,10,,17,15,2,0,0,34,,
3,,2,,,,,2,,11,7,4,,,22,,4,4,,1,1,10,,17,11,4,1,1,34,,
4,,1,1,,,,2,,8,11,2,1,,22,,2,7,,,1,10,,11,19,2,1,1,34,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. SECURITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,2,,12,5,5,,,22,,4,4,1,1,,10,,18,9,6,1,0,34,,
2,,1,1,,,,2,,12,5,4,1,,22,,3,4,2,1,,10,,16,10,6,2,0,34,,
3,,2,,,,,2,,10,8,3,,1,22,,2,6,,2,,10,,14,14,3,2,1,34,,
4,,1,1,,,,2,,13,5,3,,1,22,,4,4,1,1,,10,,18,10,4,1,1,34,,
5,,2,,,,,2,,14,4,2,1,1,22,,5,3,1,1,,10,,21,7,3,2,1,34,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F. MAINTABILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,2,,13,8,1,,,22,,3,4,1,2,,10,,18,12,2,2,0,34,,
2,,2,,,,,2,,13,8,1,,,22,,4,5,,1,,10,,19,13,1,1,0,34,,
3,,2,,,,,2,,14,7,1,,,22,,2,5,1,2,,10,,18,12,2,2,0,34,,
4,,2,,,,,2,,12,6,4,,,22,,1,7,1,1,,10,,15,13,5,1,0,34,,
5,,2,,,,,2,,12,9,1,,,22,,3,5,2,,,10,,17,14,3,0,0,34,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G. PORTABILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,2,,13,7,2,,,22,,5,3,2,,,10,,20,10,4,0,0,34,,
2,,2,,,,,2,,11,9,2,,,22,,4,4,2,,,10,,17,13,4,0,0,34,,
3,,1,1,,,,2,,9,11,2,,,22,,5,3,2,,,10,,15,15,4,0,0,34,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
